year,value
1987,47298.774
1988,53699.06476
1989,63713.22
1990,63854.62369
1991,63402.31344
1992,70453.6918
1993,77831.66061
1994,85451.2924
1995,95077.95533
1996,95940.38263
1997,104291.3836
1998,120374.0773
1999,126351.6071
2000,148293.5589
2001,149802.3356
2002,159017.6509
2003,161634.2491
2004,177204.6384
2005,194143.8943
2006,220652.7668
2007,246065.1283
2008,294874.6479
2009,264771.1798
2010,282849.74
2011,308532.1625
2012,329181.0986
2013,334284.3274
2014,343172.0829
2015,360679.1097
2016,350982.2347
2017,377453.1315
2018,415389.1739
2019,424907.3171
