latitude,price
-31.98322,360000
-32.02534,127750
-31.89995,76800
-31.95179,63000
-31.962,54385
-31.94435,44165
-31.85168,40515
-31.98424,38325
-31.96706,38325
-31.94824,36135
-31.98716,31050
-31.93486,25497
-31.95957,23000
-31.9437,22500
-31.97723,20475
-32.02147,20250
-31.93691,19980
-31.91611,17880
-28.77335,16920
-31.95098,15750
-31.84256,14880
-31.94522,14310
-32.09946,14310
-33.56306,14007
-32.01273,14000
-31.83894,14000
-31.83891,14000
-31.95198,13860
-32.27569,13860
-31.95724,13500
-31.95386,13410
-33.97065,13222
-31.95085,13200
-31.88944,12750
-31.95513,12510
-31.95332,12500
-32.01876,12010
-32.00158,12000
-31.95027,12000
-31.9394,11765
-32.00564,11500
-31.94085,11400
-32.01138,11160
-31.95206,10890
-31.98571,10890
-31.93263,10890
-31.93307,10890
-31.97764,10500
-31.92821,10350
-33.63099,10157
-31.96085,9990
-32.27529,9800
-31.96084,9540
-31.95189,9090
-31.97325,8918
-31.95204,8910
-32.04388,8820
-31.8983,8788
-33.91299,8700
-33.9117,8700
-31.96667,8550
-31.95942,8550
-31.8889,8500
-31.94611,8400
-31.91243,8400
-32.53711,8400
-31.74183,8370
-33.91128,8100
-33.91219,8100
-31.97325,8096
-31.95504,8080
-32.05548,7840
-32.09799,7700
-31.94919,7650
-31.94974,7650
-32.53064,7581
-31.99198,7575
-31.9564,7200
-31.73685,7200
-31.93826,7000
-31.92577,7000
-33.63731,7000
-32.01041,7000
-31.98942,6980
-31.76287,6975
-31.93628,6965
-31.98246,6643
-31.94296,6600
-31.97901,6510
-31.95312,6500
-32.07375,6480
-31.98766,6307
-31.74177,6300
-31.94514,6300
-31.9567,6300
-31.9735,6210
-31.93155,6060
-31.84916,6015
-31.82735,6001
-32.0586,6000
-31.40291,6000
-31.95645,5940
-31.96768,5850
-31.76419,5850
-31.90532,5700
-31.95224,5614
-31.89302,5520
-33.65184,5500
-17.96399,5406
-31.88656,5400
-31.95442,5310
-31.95362,5310
-31.93147,5250
-31.93412,5100
-31.95941,5040
-33.65789,5033
-30.74673,5010
-31.99282,5000
-31.9661,5000
-33.66228,5000
-31.96789,4950
-31.81784,4900
-31.92728,4893
-33.66032,4893
-32.06879,4800
-31.98651,4753
-32.03358,4745
-35.0436,4740
-31.98881,4627
-33.65715,4620
-31.95278,4620
-31.93836,4557
-31.98153,4557
-31.93307,4557
-33.6579,4500
-33.62895,4500
-32.31203,4500
-31.93329,4500
-28.72565,4500
-33.96667,4500
-31.9425,4482
-31.95515,4455
-31.92928,4410
-31.97826,4410
-31.9527,4400
-17.95989,4350
-31.9065,4250
-31.97325,4230
-33.94481,4207
-32.06212,4200
-33.32946,4200
-31.83986,4200
-31.91394,4200
-31.98175,4200
-31.96482,4165
-31.96846,4060
-31.94765,4050
-32.05263,4020
-33.6264,4002
-31.90944,4000
-31.78781,4000
-33.55998,3998
-31.96788,3990
-31.94659,3930
-31.9526,3892
-31.96978,3843
-31.92616,3796
-31.87306,3796
-17.90318,3795
-31.9568,3794
-33.94891,3780
-32.065,3780
-31.95938,3750
-31.97307,3675
-31.94902,3630
-17.92214,3600
-31.9579,3500
-33.60134,3500
-31.93658,3500
-32.05439,3500
-31.95,3500
-31.80684,3500
-32.07501,3500
-33.55736,3500
-33.66079,3500
-31.86274,3500
-32.06378,3495
-31.98669,3472
-31.9808,3388
-31.93094,3330
-28.73711,3330
-28.79197,3300
-32.00429,3160
-32.00221,3150
-32.07207,3150
-31.98659,3150
-32.07531,3150
-28.79244,3122
-31.95636,3108
-33.56374,3100
-31.99057,3080
-31.95509,3060
-31.92587,3058
-23.13862,3045
-33.61641,3042
-32.0606,3030
-31.97006,3030
-33.65129,3015
-33.86511,3005
-33.67518,3005
-33.96608,3000
-31.92999,3000
-31.76623,3000
-33.56003,3000
-31.90944,3000
-33.73887,3000
-33.56196,3000
-32.50879,3000
-34.07356,2996
-31.98223,2975
-31.97953,2970
-31.95457,2970
-31.77361,2955
-17.93325,2940
-31.96679,2933
-31.98277,2933
-34.00711,2850
-31.97807,2835
-35.02246,2820
-32.07175,2807
-31.85911,2807
-32.00657,2807
-32.03412,2807
-33.95143,2807
-33.55892,2807
-31.69351,2800
-31.73736,2796
-31.9466,2780
-33.71949,2775
-32.58148,2755
-32.59946,2755
-33.6237,2750
-31.98961,2750
-31.80345,2750
-31.90476,2750
-35.0062,2750
-31.55955,2716
-33.60955,2703
-32.02303,2700
-31.80527,2700
-31.94584,2700
-32.01218,2700
-28.77908,2700
-32.01191,2688
-34.99992,2632
-31.97812,2625
-31.95162,2618
-17.93382,2590
-33.59912,2571
-32.70775,2562
-31.9514,2541
-33.67926,2535
-33.86702,2520
-32.02579,2520
-32.07611,2514
-33.95858,2500
-32.52557,2500
-33.67161,2500
-31.9319,2500
-31.98103,2500
-31.93263,2500
-32.01004,2490
-31.9894,2480
-31.82562,2480
-32.13136,2475
-31.91786,2475
-32.00387,2450
-31.96094,2450
-31.91301,2450
-32.03867,2450
-33.62102,2450
-31.95543,2450
-31.96363,2450
-31.95527,2420
-33.62186,2418
-33.86981,2402
-31.99403,2400
-31.89076,2400
-34.97531,2400
-32.02424,2400
-33.74861,2400
-33.60856,2400
-32.05884,2400
-33.9746,2400
-31.98774,2400
-33.6612,2397
-31.91459,2397
-33.99732,2397
-33.65672,2397
-17.97284,2391
-33.63683,2388
-33.94503,2385
-33.83964,2385
-32.0356,2370
-32.03101,2370
-31.98901,2366
-18.3285,2360
-32.07614,2358
-33.64805,2355
