latitude,longitude,value
-32.00871,115.86407,202
-32.06806,115.87674,72
-29.25216,114.93205,94
-32.00395,115.91394,180
-34.35542,116.18267,440
-32.07592,115.93188,64
-32.04964,115.76582,124
-31.84369,115.8044,148
-32.04313,115.82905,90
-32.04561,115.7833,596
-31.82727,115.88768,100
-31.94299,115.85704,140
-31.92177,115.8769,100
-31.81418,115.74194,100
-31.65324,115.69228,390
-34.98308,117.35286,1300
-31.77481,115.7647,140
-31.93846,115.86798,70
-32.58746,115.65359,248
-31.94108,115.85282,240
-33.97094,116.148,420
-32.03495,115.80114,245
-32.0356,115.76413,2370
-31.02491,115.33661,440
-33.66397,115.38456,75
-32.06245,115.74915,60
-31.90343,115.99427,180
-32.06055,115.74953,55
-32.05854,115.75032,104
-31.86518,116.05208,49
-31.86406,116.05199,67
-32.03238,115.958,378
-32.0639,115.75135,1096
-32.03238,115.958,259
-33.9856,114.99467,260
-32.0296,115.83064,120
-31.86584,116.05148,67
-35.02808,117.88728,79
-35.02543,117.91209,500
-32.03238,115.958,301
-32.01614,115.90706,1600
-31.97571,116.0198,60
-31.89739,115.94972,150
-31.93885,115.8811,160
-32.03117,115.95798,378
-32.06523,115.7546,294
-32.03238,115.958,378
-32.17133,115.84797,48
-32.05106,115.85989,83
-31.76679,115.78872,750
-32.07547,115.99265,94
-32.17342,116.0065,150
-33.97896,114.99394,440
-31.95904,115.90662,190
-31.92301,115.8572,969
-33.94986,115.0574,840
-31.92219,115.85459,150
-31.98394,115.88867,125
-31.95189,115.91298,9090
-32.31401,115.75991,245
-31.90816,115.83908,75
-32.34194,115.81245,300
-31.93947,115.873,120
-31.90452,115.99455,54
-32.06377,115.758,507
-31.86909,115.75261,262
-32.03238,115.958,265
-31.26244,120.02077,102
-31.84731,115.85116,264
-31.55583,116.03202,64
-31.76906,115.78979,228
-32.02124,115.87236,131
-32.03294,115.95893,308
-31.93798,115.87341,86
-31.93019,115.87867,255
-31.95028,115.82215,242
-32.03625,115.91183,600
-34.31527,116.17746,228
-31.75782,115.75606,48
-31.7782,115.81276,320
-31.90717,115.88716,37
-31.77342,115.76543,50
-33.56131,115.9851,240
-32.52651,115.6957,435
-31.94041,115.88001,240
-31.91586,115.7777,55
-31.94164,115.85671,524
-32.04376,115.7436,312
-31.95559,115.84813,98
-32.06356,115.7549,675
-31.9251,115.88111,190
-32.01779,115.88466,146
-31.92752,115.8931,490
-31.92722,115.90156,630
-31.92825,115.90278,630
-31.97136,115.7889,130
-31.83472,115.75214,420
-33.99252,114.99574,120
-31.95353,115.84769,490
-31.94558,115.84366,121
-33.62005,115.0932,430
-31.71074,115.80041,345
-31.83072,115.74696,837
-31.83072,115.74696,687
-31.83073,115.74915,744
-33.91745,115.04197,200
-31.92566,115.91189,800
-31.68228,115.71352,360
-32.06905,115.75847,447
-32.03319,115.75378,900
-32.03338,115.85327,250
-31.99327,115.75527,655
-31.82914,115.75073,495
-31.95161,115.85654,129
-32.05346,115.74691,318
-32.53415,115.70867,640
-31.95274,115.91169,720
-32.0111,115.85034,720
-32.01994,115.94506,308
-31.97987,115.88711,230
-32.07065,115.76228,805
-32.08943,115.84003,33
-32.08911,115.84135,26
-31.78527,115.74526,623
-32.02191,115.75913,495
-32.0683,115.79535,356
-31.83284,115.75076,198
-34.35896,116.18659,280
-31.92848,115.8412,202
-31.95912,115.87323,920
-31.97578,115.8598,250
-31.94351,115.75726,417
-31.97139,115.78945,222
-31.76585,115.75561,108
-32.1403,115.85675,199
-32.01986,116.05032,64
-31.93815,115.90053,65
-33.65194,115.09373,510
-32.05389,115.74637,810
-32.03316,115.76522,318
-31.97559,116.02125,64
-31.80207,115.74384,338
-31.89146,115.77118,120
-32.69414,116.71403,160
-31.89867,115.83367,88
-32.5188,115.73623,148
-31.97138,115.7878,180
-32.13932,115.85756,59
-32.14075,115.85877,69
-32.14043,115.85675,79
-31.91616,115.77793,80
-33.53148,115.5052,180
-32.07177,115.75431,393
-31.89977,115.83389,88
-31.93143,115.86552,192
-33.64395,115.35772,338
-31.94453,115.79302,166
-31.80262,115.75021,97
-31.80247,115.75052,99
-31.80234,115.75013,99
-31.97379,116.06615,150
-31.94435,115.85455,540
-31.89065,115.79734,270
-33.99376,114.99818,1185
-32.01469,115.76252,780
-32.7121,116.06193,190
-32.03886,115.75726,90
-33.7469,115.94915,390
-31.7743,115.7388,650
-32.06768,115.75098,242
-32.0502,115.96132,170
-32.11131,115.78848,45
-32.06529,115.75816,190
-32.06406,115.75914,202
-31.90072,115.97144,131
-31.82888,115.87847,200
-35.00581,117.26965,210
-31.86831,115.75801,315
-32.07247,115.94844,640
-33.60632,115.09232,480
-31.67629,115.75145,102
-32.02557,115.86989,120
-31.94504,115.82607,655
-31.75228,115.98911,300
-32.00471,115.91448,195
-31.95129,115.84523,660
-31.93533,115.94099,90
-31.65247,115.71827,50
-31.99328,115.75662,345
-33.75711,115.97846,348
-32.58318,115.79354,60
-31.86872,115.75591,160
-31.93691,115.8781,19980
-32.05133,115.75909,636
-32.03528,115.82109,202
-32.05271,115.74923,505
-32.58262,115.78284,398
-31.94881,115.82599,660
-32.69517,116.71559,160
-33.91616,115.04308,160
-31.9987,115.89888,90
-32.07879,115.77211,275
-34.30755,115.15834,368
-31.46201,116.38757,300
-31.93387,115.8868,186
-32.00648,115.87385,85
-31.88983,115.7633,150
-31.95792,115.86716,920
-31.89356,115.88131,693
-32.12099,115.78749,90
-31.97234,115.8983,56
-35.00642,117.32399,258
-31.92368,115.90738,333
-31.95698,115.80975,242
-32.05579,115.74472,60
-32.06055,115.74929,338
-32.0606,115.77391,172
-31.90155,115.76992,70
-31.98819,115.81551,250
-31.89157,115.86669,236
-32.00889,115.83494,242
-31.98028,115.85888,792
-31.87882,116.12727,298
-27.70219,114.16848,498
-31.97403,115.90537,665
-32.0907,115.84102,27
-33.65855,115.28903,260
-33.63726,115.15668,290
-33.69664,115.00942,480
-32.0317,115.94883,800
-31.91586,115.7777,47
-35.01024,117.52104,228
-34.99823,117.3342,480
-34.07643,115.79588,590
-31.99933,115.85955,447
-33.63389,115.39968,115
-32.05107,115.86507,130
-32.06257,115.75275,370
-31.95452,115.87654,255
-31.80234,115.7503,99
-32.94015,117.18747,84
-31.92365,115.84694,70
-31.93139,115.85004,298
-31.68982,115.72129,1400
-32.05363,115.75734,180
-28.76612,114.61671,184
-31.94099,115.87118,285
-33.15177,115.69045,160
-31.97227,115.88456,345
-31.93045,115.85318,110
-28.74638,114.63543,450
-32.06299,115.78111,79
-31.93813,115.87155,363
-31.86305,115.765,128
-32.15418,115.97248,342
-35.09042,117.93888,870
-31.95929,115.8185,444
-33.6588,115.27964,360
-32.00395,115.95702,36
-31.95926,115.91801,136
-31.94459,115.87032,556
-31.91586,115.7777,90
-31.95612,115.84826,1526
-31.9954,115.87379,242
-31.94912,115.82734,660
-29.24885,114.93206,100
-32.04803,115.75835,303
-31.9698,115.84727,198
-31.68765,115.71849,198
-31.94818,115.82322,250
-32.07121,115.75662,170
-31.95701,115.8464,232
-31.9848,115.77872,136
-32.08089,115.77625,170
-32.87564,115.6551,400
-31.99203,115.80405,135
-35.02846,117.89291,167
-31.9604,115.8723,777
-33.94688,115.07535,390
-33.99092,114.99605,400
-31.96649,115.84611,894
-32.15367,115.97077,342
-31.94865,115.82673,600
-32.62989,115.64088,1050
-32.01044,115.7607,89
-32.01144,115.76001,90
-31.67716,115.69507,128
-31.92674,115.90329,525
-32.0754,115.75388,222
-31.77487,115.73655,120
-31.81218,115.7695,178
-21.93049,114.12249,708
-32.06468,115.75549,333
-31.85307,116.27035,148
-32.11549,115.77378,160
-31.98422,115.7793,695
-32.52267,115.72725,129
-32.48176,115.75065,135
-31.68938,115.71875,128
-32.07159,115.75275,121
-35.03252,117.89829,390
-34.99933,117.94486,982
-32.06571,115.7583,350
-31.80235,115.75047,99
-34.95262,117.34579,300
-34.94578,117.30859,260
-33.86632,116.30782,450
-31.97325,115.81531,696
-31.94962,115.83596,393
-31.91758,115.83996,132
-31.99459,115.87398,242
-31.89878,115.88255,70
-17.93382,122.21555,2590
-33.62641,115.12303,852
-32.55765,115.67468,140
-31.9343,115.80649,1330
-34.95274,117.34583,300
-31.95489,115.84667,1526
-31.95418,115.84675,1526
-32.00188,115.75585,278
-32.06012,115.74893,600
-17.95479,122.23015,480
-31.99056,115.89116,120
-35.01387,117.87311,500
-31.90061,115.85245,100
-28.98624,114.75929,92
-33.9776,115.0126,380
-32.07282,115.7548,296
-31.90635,115.83266,400
-31.95416,115.93724,50
-31.94124,115.87708,120
-31.48813,118.25972,90
-31.95683,115.81,1155
-33.52288,115.51126,440
-34.71424,117.92467,348
-32.04199,115.83779,945
-31.84455,115.84277,95
-31.95585,115.81821,435
-33.98339,114.99145,420
-33.98415,114.99222,600
-33.86702,121.88323,2520
-34.44342,119.39519,340
-31.94383,115.87864,360
-17.97284,122.23047,2391
-31.98927,115.89243,120
-31.98097,115.814,444
-33.33035,115.62968,134
-31.66833,115.70082,64
-31.92837,115.91118,875
-31.78191,115.74958,70
-25.92394,113.53619,188
-31.93166,115.87744,250
-31.90332,115.82537,1400
-34.83407,117.95453,300
-33.6144,115.10893,450
-31.97956,115.87085,278
-30.71957,121.44859,240
-30.29724,115.04857,134
-32.07991,115.76156,447
-32.00221,115.75697,3150
-28.9513,114.7305,380
-33.95521,115.01961,208
-31.9394,115.84586,11765
-32.03352,115.93253,150
-31.87125,115.89689,68
-31.88497,115.78956,600
-31.97953,115.85795,2970
-33.95345,115.07768,570
-31.99262,115.75997,1575
-32.0397,115.78339,135
-32.03814,115.76386,105
-30.07126,114.96977,390
-31.92156,115.88517,240
-31.99433,115.7526,900
-31.86246,116.16621,260
-31.89929,115.79608,270
-31.86246,116.16621,190
-32.0517,115.7555,222
-32.06928,115.752,375
-32.05277,115.74766,333
-31.80245,115.75043,76
-31.80234,115.74992,99
-31.94153,115.8657,146
-32.0529,115.75256,308
-18.012,124.01004,492
-18.01362,124.00894,1418
-31.98036,115.9387,84
-32.06965,115.75348,477
-32.06868,115.75414,393
-32.05107,115.75547,363
-32.06736,115.7507,303
-32.52831,115.71784,298
-32.05796,115.75033,375
-31.87066,115.8976,68
-31.99277,115.75321,595
-32.05878,115.752,600
-32.06216,115.74066,600
-32.06265,115.76044,447
-32.06725,115.76238,447
-32.0043,115.75504,1305
-32.05656,115.7467,780
-32.0673,115.75043,600
-32.06011,115.7565,600
-33.94537,115.05271,290
-32.08569,115.93838,658
-32.56585,115.66798,540
-32.00976,115.91582,90
-34.91773,116.46426,720
-32.0103,115.7619,405
-32.52732,115.70621,208
-33.67581,115.08459,900
-32.01729,115.85849,69
-31.97171,115.78316,860
-32.04488,115.89691,138
-33.67637,117.56557,260
-32.14989,115.84272,120
-32.0606,115.74884,3030
-31.85792,115.75363,198
-33.53334,115.5135,458
-31.91609,115.7777,47
-21.93548,114.12126,522
-32.08251,115.79268,444
-31.90938,115.82859,160
-32.01197,115.75485,150
-32.06961,115.75721,178
-31.97749,115.85575,676
-35.02341,117.88905,130
-31.98663,115.90278,45
-31.9778,115.80807,122
-34.95327,117.34505,340
-33.96455,115.00269,1790
-31.94362,115.87267,135
-33.60803,115.0937,400
-31.912,115.83562,124
-32.06119,115.75003,318
-31.98165,115.81472,131
-31.9808,115.81534,3388
-33.96627,116.15493,130
-32.06087,115.75235,318
-32.04622,115.75338,600
-32.06991,115.7531,507
-32.5233,115.7032,110
-31.99591,115.75465,202
-32.06579,115.75186,585
-32.12071,115.76721,198
-31.95341,115.84705,101
-31.95341,115.84705,303
-31.95341,115.84705,675
-31.98075,115.81392,460
-33.74836,115.94993,390
-32.07067,115.75408,242
-33.94044,115.06877,1185
-34.93194,117.18625,240
