price,number_of_reviews
12500,0
11500,51
8499,0
6001,0
5000,1
3500,0
3500,0
3490,0
3000,19
2750,0
2750,0
2001,30
2001,0
2001,2
1999,1
1999,5
1999,0
1500,69
1500,1
1500,0
1500,0
1451,0
1400,10
1400,1
1400,0
1400,1
1300,0
1281,2
1281,0
1260,25
1250,2
1201,3
1201,7
1200,13
1200,17
1180,1
1110,1
1100,35
1100,0
1100,0
1025,0
1014,4
1005,15
1000,0
1000,4
1000,0
1000,28
1000,39
1000,0
1000,6
1000,2
1000,0
1000,8
1000,18
1000,18
1000,2
1000,1
1000,5
1000,6
1000,1
1000,1
1000,8
1000,0
995,2
981,2
980,6
959,1
950,3
950,0
949,8
949,2
949,0
949,1
930,39
925,18
901,1
901,0
901,1
901,2
900,2
900,28
900,8
895,40
880,1
870,0
857,1
850,9
850,0
850,9
850,0
845,21
839,0
825,5
806,2
800,38
800,10
800,4
800,6
800,0
799,64
799,2
799,1
799,5
799,16
799,6
799,2
799,4
799,1
799,2
797,15
796,0
795,1
795,3
790,0
789,26
785,1
779,0
759,3
759,0
750,4
750,6
750,3
750,23
750,13
750,3
749,2
749,16
744,9
737,0
719,3
715,2
709,0
699,0
699,15
699,14
699,11
699,22
699,5
699,1
699,1
699,0
699,6
699,5
699,0
695,27
695,4
692,1
692,0
689,14
689,3
685,4
682,0
679,11
679,0
679,0
675,1
669,19
661,6
661,7
661,2
659,5
651,23
651,41
651,80
651,17
651,15
651,4
651,0
651,11
651,0
651,4
651,0
649,61
649,8
649,4
649,12
649,5
649,1
649,0
649,0
645,10
645,101
631,136
631,37
631,43
625,0
625,17
625,2
625,4
625,1
625,1
620,3
608,23
608,0
605,6
601,69
601,34
601,107
601,11
601,0
601,51
601,3
601,15
601,10
601,27
601,6
601,7
601,15
601,14
601,8
601,10
601,5
601,7
601,0
601,9
601,2
601,2
600,4
600,38
600,0
600,2
600,8
600,9
600,12
600,1
600,2
600,1
600,17
600,2
600,0
600,1
600,2
600,4
600,0
600,0
600,0
599,1
599,0
596,5
595,4
595,30
595,27
595,6
595,2
595,3
591,9
591,18
591,0
590,0
588,1
578,1
578,2
578,0
577,4
575,21
575,22
575,28
575,34
575,6
575,3
573,2
571,43
561,9
560,22
554,10
553,7
553,0
552,5
551,21
551,47
551,153
551,5
551,6
551,17
551,10
551,35
551,13
551,42
551,21
551,5
551,11
551,44
551,29
551,0
551,15
551,16
551,5
551,0
551,0
550,1
550,33
550,13
550,1
550,5
550,146
550,32
550,0
550,15
550,20
550,13
550,4
550,15
550,5
549,43
549,1
548,37
546,34
546,10
546,1
544,38
544,12
544,7
543,1
540,34
540,0
539,0
535,4
533,0
533,0
532,46
531,31
531,2
531,26
526,18
526,1
525,64
525,1
525,6
521,4
521,0
521,0
520,3
519,4
518,8
518,5
517,15
516,11
516,0
510,0
508,1
507,5
505,10
503,0
501,5
501,69
501,83
501,0
501,44
501,9
501,61
501,31
501,15
501,59
501,5
501,35
501,24
501,11
501,9
501,9
501,66
501,21
501,0
501,1
501,2
501,5
501,8
501,18
501,8
501,3
501,3
501,0
500,38
500,0
500,2
500,0
500,0
500,0
500,11
500,23
500,64
500,5
500,5
500,5
500,4
500,2
500,1
500,6
500,0
500,3
500,3
500,12
500,1
500,0
500,2
500,1
500,0
500,0
499,75
498,5
498,3
498,25
498,0
498,30
496,2
496,57
496,7
496,8
496,7
496,9
495,46
495,0
495,2
495,2
493,1
493,0
492,0
491,33
491,11
490,9
489,8
486,0
486,1
485,30
485,3
481,42
481,9
481,0
481,34
481,2
480,2
480,78
480,27
480,0
480,9
480,5
480,0
478,19
476,1
475,8
475,1
475,0
475,32
475,34
475,5
475,17
475,2
475,2
475,1
475,1
473,27
471,3
471,1
470,27
468,19
468,28
465,11
465,66
465,5
465,55
465,1
465,1
461,3
461,5
461,1
460,4
460,2
458,1
458,0
455,13
455,70
451,0
450,7
450,31
450,20
450,3
450,47
450,4
450,2
450,15
450,12
450,14
450,25
450,47
450,22
450,8
450,4
450,23
450,21
450,75
450,165
450,14
450,19
450,1
450,18
450,0
450,3
450,18
450,8
450,3
450,53
450,40
450,0
450,14
450,5
450,5
450,0
450,0
450,1
450,2
450,12
450,2
450,10
450,3
450,7
450,7
450,30
450,0
450,2
450,4
450,2
450,0
450,1
450,5
450,1
450,6
450,2
450,2
450,0
450,0
450,0
447,0
445,23
445,10
443,0
442,3
442,1
440,11
440,12
440,10
439,31
439,0
439,5
439,0
439,0
438,0
438,3
437,1
435,45
435,3
435,0
435,1
434,0
433,1
433,1
433,2
432,0
430,1
429,3
425,45
425,6
425,0
425,22
425,10
425,17
425,40
425,48
425,5
425,12
425,0
425,22
425,12
425,3
425,4
425,1
425,0
425,0
424,0
423,11
423,1
420,36
420,93
420,20
420,11
420,36
420,16
420,2
419,1
419,52
419,3
419,4
419,7
419,0
419,0
419,0
418,0
415,14
415,7
415,12
414,1
412,0
412,2
410,28
410,18
410,0
410,0
409,8
409,29
409,5
409,27
409,0
408,0
408,1
405,0
401,1
401,24
401,1
401,6
401,4
401,14
401,20
401,26
401,48
401,61
401,0
401,13
401,6
401,11
401,28
401,2
401,1
401,43
401,87
401,0
