,Quarter,Region,State,Purpose,Trips
1,01/01/1998,Adelaide,South Australia,Business,135.0776903
2,01/04/1998,Adelaide,South Australia,Business,109.987316
3,01/07/1998,Adelaide,South Australia,Business,166.0346866
4,01/10/1998,Adelaide,South Australia,Business,127.1604643
5,01/01/1999,Adelaide,South Australia,Business,137.4485333
6,01/04/1999,Adelaide,South Australia,Business,199.9125861
7,01/07/1999,Adelaide,South Australia,Business,169.3550898
8,01/10/1999,Adelaide,South Australia,Business,134.3579372
9,01/01/2000,Adelaide,South Australia,Business,154.034398
10,01/04/2000,Adelaide,South Australia,Business,168.7763637
11,01/07/2000,Adelaide,South Australia,Business,223.0651159
12,01/10/2000,Adelaide,South Australia,Business,241.2206893
13,01/01/2001,Adelaide,South Australia,Business,132.5000378
14,01/04/2001,Adelaide,South Australia,Business,178.3980945
15,01/07/2001,Adelaide,South Australia,Business,195.9963258
16,01/10/2001,Adelaide,South Australia,Business,101.1746931
17,01/01/2002,Adelaide,South Australia,Business,237.8327914
18,01/04/2002,Adelaide,South Australia,Business,150.7266327
19,01/07/2002,Adelaide,South Australia,Business,167.7128424
20,01/10/2002,Adelaide,South Australia,Business,140.3395127
21,01/01/2003,Adelaide,South Australia,Business,139.4467919
22,01/04/2003,Adelaide,South Australia,Business,159.6580081
23,01/07/2003,Adelaide,South Australia,Business,232.1073047
24,01/10/2003,Adelaide,South Australia,Business,158.5960175
25,01/01/2004,Adelaide,South Australia,Business,138.4674189
26,01/04/2004,Adelaide,South Australia,Business,229.7141455
27,01/07/2004,Adelaide,South Australia,Business,242.4943675
28,01/10/2004,Adelaide,South Australia,Business,123.0611006
29,01/01/2005,Adelaide,South Australia,Business,127.9992552
30,01/04/2005,Adelaide,South Australia,Business,73.2530124
31,01/07/2005,Adelaide,South Australia,Business,166.7247035
32,01/10/2005,Adelaide,South Australia,Business,122.2969489
33,01/01/2006,Adelaide,South Australia,Business,127.247714
34,01/04/2006,Adelaide,South Australia,Business,176.075701
35,01/07/2006,Adelaide,South Australia,Business,157.857561
36,01/10/2006,Adelaide,South Australia,Business,106.677495
37,01/01/2007,Adelaide,South Australia,Business,134.3680297
38,01/04/2007,Adelaide,South Australia,Business,168.5935923
39,01/07/2007,Adelaide,South Australia,Business,146.1038104
40,01/10/2007,Adelaide,South Australia,Business,134.5737045
41,01/01/2008,Adelaide,South Australia,Business,127.1683903
42,01/04/2008,Adelaide,South Australia,Business,151.9719803
43,01/07/2008,Adelaide,South Australia,Business,152.2058109
44,01/10/2008,Adelaide,South Australia,Business,160.6362718
45,01/01/2009,Adelaide,South Australia,Business,113.8600217
46,01/04/2009,Adelaide,South Australia,Business,152.7243494
47,01/07/2009,Adelaide,South Australia,Business,121.9832332
48,01/10/2009,Adelaide,South Australia,Business,191.1538074
49,01/01/2010,Adelaide,South Australia,Business,68.7253928
50,01/04/2010,Adelaide,South Australia,Business,182.18332
51,01/07/2010,Adelaide,South Australia,Business,120.5336824
52,01/10/2010,Adelaide,South Australia,Business,155.0707525
53,01/01/2011,Adelaide,South Australia,Business,109.699807
54,01/04/2011,Adelaide,South Australia,Business,148.4397274
55,01/07/2011,Adelaide,South Australia,Business,140.6574624
56,01/10/2011,Adelaide,South Australia,Business,148.815411
57,01/01/2012,Adelaide,South Australia,Business,126.8571108
58,01/04/2012,Adelaide,South Australia,Business,154.920891
59,01/07/2012,Adelaide,South Australia,Business,150.0191305
60,01/10/2012,Adelaide,South Australia,Business,178.3637579
61,01/01/2013,Adelaide,South Australia,Business,101.6471351
62,01/04/2013,Adelaide,South Australia,Business,100.6409434
63,01/07/2013,Adelaide,South Australia,Business,179.8741671
64,01/10/2013,Adelaide,South Australia,Business,142.8077977
65,01/01/2014,Adelaide,South Australia,Business,127.3236791
66,01/04/2014,Adelaide,South Australia,Business,139.0854509
67,01/07/2014,Adelaide,South Australia,Business,173.3228706
68,01/10/2014,Adelaide,South Australia,Business,124.5883668
69,01/01/2015,Adelaide,South Australia,Business,143.5832868
70,01/04/2015,Adelaide,South Australia,Business,161.3704888
71,01/07/2015,Adelaide,South Australia,Business,180.4919573
72,01/10/2015,Adelaide,South Australia,Business,179.7114269
73,01/01/2016,Adelaide,South Australia,Business,193.3044037
74,01/04/2016,Adelaide,South Australia,Business,190.0252157
75,01/07/2016,Adelaide,South Australia,Business,195.9832501
76,01/10/2016,Adelaide,South Australia,Business,152.4288872
77,01/01/1998,Adelaide,South Australia,Holiday,223.5574059
78,01/04/1998,Adelaide,South Australia,Holiday,130.287369
79,01/07/1998,Adelaide,South Australia,Holiday,156.089398
80,01/10/1998,Adelaide,South Australia,Holiday,182.3289795
81,01/01/1999,Adelaide,South Australia,Holiday,185.33188
82,01/04/1999,Adelaide,South Australia,Holiday,134.6696903
83,01/07/1999,Adelaide,South Australia,Holiday,136.0347311
84,01/10/1999,Adelaide,South Australia,Holiday,168.6863799
85,01/01/2000,Adelaide,South Australia,Holiday,184.1202637
86,01/04/2000,Adelaide,South Australia,Holiday,134.3627013
87,01/07/2000,Adelaide,South Australia,Holiday,145.3610392
88,01/10/2000,Adelaide,South Australia,Holiday,150.513124
89,01/01/2001,Adelaide,South Australia,Holiday,160.2282407
90,01/04/2001,Adelaide,South Australia,Holiday,133.1343279
91,01/07/2001,Adelaide,South Australia,Holiday,153.773094
92,01/10/2001,Adelaide,South Australia,Holiday,181.4068405
93,01/01/2002,Adelaide,South Australia,Holiday,169.0469312
94,01/04/2002,Adelaide,South Australia,Holiday,114.2086238
95,01/07/2002,Adelaide,South Australia,Holiday,130.3304208
96,01/10/2002,Adelaide,South Australia,Holiday,130.4795052
97,01/01/2003,Adelaide,South Australia,Holiday,146.7703147
98,01/04/2003,Adelaide,South Australia,Holiday,126.7641332
99,01/07/2003,Adelaide,South Australia,Holiday,149.4360349
100,01/10/2003,Adelaide,South Australia,Holiday,111.0500583
101,01/01/2004,Adelaide,South Australia,Holiday,186.7720696
102,01/04/2004,Adelaide,South Australia,Holiday,135.9060186
103,01/07/2004,Adelaide,South Australia,Holiday,112.9890536
104,01/10/2004,Adelaide,South Australia,Holiday,158.0570262
105,01/01/2005,Adelaide,South Australia,Holiday,141.6333769
106,01/04/2005,Adelaide,South Australia,Holiday,120.1251157
107,01/07/2005,Adelaide,South Australia,Holiday,160.774783
108,01/10/2005,Adelaide,South Australia,Holiday,149.0777328
109,01/01/2006,Adelaide,South Australia,Holiday,191.525738
110,01/04/2006,Adelaide,South Australia,Holiday,163.649515
111,01/07/2006,Adelaide,South Australia,Holiday,138.133273
112,01/10/2006,Adelaide,South Australia,Holiday,164.849392
113,01/01/2007,Adelaide,South Australia,Holiday,185.5543828
114,01/04/2007,Adelaide,South Australia,Holiday,180.6817518
115,01/07/2007,Adelaide,South Australia,Holiday,134.4982174
116,01/10/2007,Adelaide,South Australia,Holiday,155.604757
117,01/01/2008,Adelaide,South Australia,Holiday,181.779807
118,01/04/2008,Adelaide,South Australia,Holiday,147.5425818
119,01/07/2008,Adelaide,South Australia,Holiday,129.5127253
120,01/10/2008,Adelaide,South Australia,Holiday,152.0620509
121,01/01/2009,Adelaide,South Australia,Holiday,147.951753
122,01/04/2009,Adelaide,South Australia,Holiday,150.9474509
123,01/07/2009,Adelaide,South Australia,Holiday,157.6999575
124,01/10/2009,Adelaide,South Australia,Holiday,167.0237365
125,01/01/2010,Adelaide,South Australia,Holiday,190.0186267
126,01/04/2010,Adelaide,South Australia,Holiday,134.4421162
127,01/07/2010,Adelaide,South Australia,Holiday,108.0330401
128,01/10/2010,Adelaide,South Australia,Holiday,159.5471503
129,01/01/2011,Adelaide,South Australia,Holiday,169.8550653
130,01/04/2011,Adelaide,South Australia,Holiday,174.7726763
131,01/07/2011,Adelaide,South Australia,Holiday,109.4812806
132,01/10/2011,Adelaide,South Australia,Holiday,165.597184
133,01/01/2012,Adelaide,South Australia,Holiday,169.7142825
134,01/04/2012,Adelaide,South Australia,Holiday,124.6560046
135,01/07/2012,Adelaide,South Australia,Holiday,148.6707777
136,01/10/2012,Adelaide,South Australia,Holiday,153.7400777
137,01/01/2013,Adelaide,South Australia,Holiday,171.0331777
138,01/04/2013,Adelaide,South Australia,Holiday,127.9855815
139,01/07/2013,Adelaide,South Australia,Holiday,130.9978837
140,01/10/2013,Adelaide,South Australia,Holiday,118.0241892
141,01/01/2014,Adelaide,South Australia,Holiday,181.5294045
142,01/04/2014,Adelaide,South Australia,Holiday,159.832988
143,01/07/2014,Adelaide,South Australia,Holiday,130.2123061
144,01/10/2014,Adelaide,South Australia,Holiday,137.4820398
145,01/01/2015,Adelaide,South Australia,Holiday,214.2565621
146,01/04/2015,Adelaide,South Australia,Holiday,125.0024901
147,01/07/2015,Adelaide,South Australia,Holiday,130.510519
148,01/10/2015,Adelaide,South Australia,Holiday,180.5502086
149,01/01/2016,Adelaide,South Australia,Holiday,194.9879354
150,01/04/2016,Adelaide,South Australia,Holiday,177.1418065
151,01/07/2016,Adelaide,South Australia,Holiday,154.1169205
152,01/10/2016,Adelaide,South Australia,Holiday,147.1019643
153,01/01/1998,Adelaide,South Australia,Other,58.3626891
154,01/04/1998,Adelaide,South Australia,Other,39.4687353
155,01/07/1998,Adelaide,South Australia,Other,38.431629
156,01/10/1998,Adelaide,South Australia,Other,33.7915233
