Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,834,997,"1,355","1,456","1,865","2,549","3,225","3,745","4,320","4,578","5,277","6,444","7,216","9,805","11,068","13,805","15,194","19,159","22,838","26,796","30,428","36,887","37,344","40,924","43,919","46,442","49,571","54,460","64,377","62,323","67,448","78,303","82,842"
United States,"10,820","12,122","15,207","15,983","15,817","16,391","17,301","19,019","21,252","22,938","23,762","27,458","27,411","30,261","27,747","29,488","26,923","26,950","28,182","32,146","33,278","37,911","35,326","36,378","40,712","43,310","41,003","43,392","49,372","44,954","47,332","50,865","55,533"
Japan,"8,606","9,601","11,769","10,641","10,018","11,377","13,264","13,650","13,586","11,697","12,807","14,822","15,593","17,034","17,151","17,240","17,810","18,406","18,917","19,112","19,829","22,491","18,778","20,573","20,079","21,420","21,609","20,096","23,027","22,824","24,813","26,988","26,357"
Germany,"3,131","3,215","3,739","3,828","3,585","3,706","4,042","4,540","5,676","5,228","5,330","6,664","6,711","6,889","7,860","8,488","9,050","9,400","9,902","10,222","11,675","13,562","12,520","12,640","12,678","13,403","14,133","14,743","15,570","16,472","16,992","18,772","18,184"
Thailand,509,596,822,853,887,"1,055","1,134","1,241","1,424","1,454","1,711","2,151","2,690","3,496","3,506","3,946","4,293","4,700","5,826","7,692","9,807","12,441","14,159","13,266","11,066","13,085","14,287","13,266","15,805","16,878","17,213","17,914","17,385"
United Kingdom,"5,091","5,684","6,419","6,378","5,872","6,340","6,774","7,478","8,376","9,030","8,893","9,333","8,844","11,409","10,336","10,135","9,883","10,527","11,135","10,862","13,425","15,973","12,161","12,160","13,186","13,162","13,230","13,491","15,222","14,869","15,486","16,518","17,246"
Singapore,"1,335","1,642","2,069","1,960","2,144","2,195","2,516","3,116","3,724","3,917","3,576","4,115","6,046","5,765","6,175","6,723","6,667","8,800","11,635","14,852","14,903","21,140","14,723","14,107","17,893","18,712","17,903","17,584","14,741","12,365","13,376","17,258","16,294"
New Zealand,"2,246","2,606","2,953","3,020","3,093","3,428","3,897","4,280","4,618","4,771","4,903","5,317","5,623","6,135","6,568","6,721","7,058","7,350","7,608","8,001","9,118","10,745","9,944","10,316","10,971","10,576","11,108","11,907","12,013","12,378","13,571","14,289","14,542"
Republic of Korea,"1,070","1,181","1,438","1,288","1,362","1,656","2,048","1,996","2,541","2,613","3,241","4,477","4,111","5,078","4,988","5,088","5,178","5,266","5,520","7,332","6,357","6,886","7,009","7,634","7,600","10,518","11,415","13,266","16,169","11,870","31,747","14,455","13,096"
Malaysia,649,829,"1,005",926,"1,041","1,264","1,420","1,670","2,072","2,244","2,755","3,452","3,985","5,115","4,687","4,598","4,938","6,361","6,967","7,671","8,450","10,102","8,617","10,328","9,979","11,008","11,069","12,756","11,257","10,276","12,176","13,971","12,253"
Italy (d),"1,535","1,605","1,943","1,861","1,621","1,686","1,786","2,193","2,579","2,768","2,885","3,350","3,330","3,620","3,958","4,359","4,709","5,136","5,095","5,454","5,909","6,524","5,935","6,193","6,523","6,712","7,421","7,729","7,627","7,796","8,412","9,576","9,810"
Indonesia,669,572,712,750,"1,161","1,535","1,581","1,474","1,861","2,512","3,245","4,565","3,579","3,602","4,926","5,142","4,761","4,761","4,659","5,177","5,768","6,604","6,359","7,570","8,651","9,099","8,886","9,345","8,834","8,599","7,780","9,057","9,654"
France (c),"1,004","1,229","1,542","1,470","1,566","1,719","1,718","1,895","2,172","2,223","2,259","2,485","2,556","2,762","2,971","3,761","4,441","5,178","5,787","4,859","5,560","7,653","6,435","6,664","7,283","6,088","6,423","6,632","6,575","6,651","7,059","7,759","8,658"
Vietnam,na,na,na,na,na,na,na,na,na,na,na,na,"1,482","2,398","2,333","2,632","2,654","2,907","3,860","5,470","5,250","6,008","3,859","3,914","3,701","4,084","4,867","5,993","5,543","5,641","6,678","7,859","7,573"
India,na,na,na,na,na,na,na,na,na,na,na,na,824,"1,008","1,078","1,191","1,223","1,422","1,595","1,797","2,138","2,641","2,911","2,842","3,170","3,793","4,090","4,699","6,570","6,317","7,352","8,012","7,445"
Taiwan,"1,723","1,854","2,173","1,846","1,955","2,216","2,424","2,593","2,729","2,705","2,813","3,097","3,128","3,665","3,177","3,522","3,550","3,833","3,888","4,419","4,582","4,658","3,519","3,866","4,009","3,963","4,280","4,773","5,057","4,686","4,724","5,405","5,870"
United Arab Emirates,na,na,na,na,na,na,na,na,na,na,na,na,na,973,970,432,"1,055","1,039",510,"2,429","3,539","3,774","3,659","4,072","6,004","5,270","5,813","4,843","4,790","4,238","4,681","5,914","5,648"
Canada,921,"1,128","1,452","1,280","1,095","1,156","1,292","1,403","1,802","1,814","1,640","1,914","2,050","2,416","2,269","2,202","2,342","2,544","2,671","3,056","3,242","4,067","3,201","2,984","3,013","3,757","3,482","3,612","3,937","3,947","4,240","4,302","4,989"
Papua New Guinea,252,206,287,487,930,"1,226","1,456","1,263","1,316","1,356","1,165",890,"1,292","1,574","1,368","1,347","1,633","1,764","2,204","2,510","2,781","3,191","3,239","3,453","4,170","3,927","3,512","4,057","3,451","3,967","3,740","3,989","4,537"
Switzerland (f),636,653,682,774,740,919,"1,060","1,279","1,509","1,456","1,550","1,748","1,826","2,220","2,445","2,294","2,009","2,346","2,497","2,908","2,729","3,329","3,416","3,261","3,717","3,647","3,784","3,692","3,903","4,077","3,788","4,484","4,495"
